ID,Name,Address
1,X1,"Cum Cong Nghiep Phu Lam,Phu Lam,Tien Du, Bac Ninh"
2,X4,"So 106 ngo 24 Kim Dong, Hoang Mai, Ha Noi"
3,VAC,"5289+732 Tien Du, Bac Ninh, Viet Nam"
4,X5,"2387+JR7, phuong, Nguyet Duc, Thuan Thanh, Bac Ninh, Viet Nam"
5,X6,"32X3+27H Tien Du, Bac Ninh"
6,X7,"Thon Tam dao, Xa Phu Lam, Huyen Tien Du, Tinh Bac Ninh, Viet Nam"
7,CONG TY TNHH HA TUNG,"Lo B2- KCN Nguyen Duc Canh, Thanh pho Thai Binh"
8,CONG TY CO PHAN THIET BI DO DIEN EMIC,"Khu Cong Nghiep Dai Dong - Hoan Son, Tien Du, Bac Ninh "
9,CONG TY TNHH CHE BIEN THUC PHAM DUC HANH,"Cum cong nghiep Truong An, xa An Khanh, huyen Hoai Duc, TP Ha Noi"
10,CONG TY TNHH KHOA HOC KY THUAT DIEN TU DONG MINH VIET NAM,"Lo 15, CCN Noi Hoang, Noi Hoang,Yen Dung, Bac Giang, Viet Nam"
11,CONG TY TNHH SX  TM DAI PHUONG,"Co Loa, Dong Anh, Ha Noi"
12,Cong ty TNHH DYT Viet Nam,"Lo CN - 10 KCN Van Trung, huyen Viet Yen, tinh Bac Giang"
13,CONG TY TNHH DONGSUNG VINA,"Lo CN 3, 3(2), KCN Diem Thuy, Xa Diem Thuy, Huyen Phu Binh, Thai Nguyen"
14,CONG TY TNHH DAU TU VA PHAT TRIEN CHAN NUOI GIA CONG ,CONG TY TNHH ?AU TU VA PHAT TRIEN CHAN NUOI GIA CONG
15,CONG TY TNHH CPRO VIET NAM,"CCN Dong Tho, xa Dong Tho, huyen Yen Phong, Bac Ninh"
16,CONG TY TNHH CELINK VIET NAM,"KCN Van Trung, Viet Yen, Bac Giang"
17,CONG TY CO PHAN FUZI VIET NAM,"So 8, ngo 215 De To Hoang, Phuong Cau Den, Quan Hai Ba Trung, TP Ha Noi"
18,Cong ty TNHH TMDV XNK Ha Thanh,"So 89 Doc Moc, Cao Duong, Thanh oai, Ha Noi"
19,CONG TY TNHH HAI HA-KOTOBUKI,"25 Truong Dinh, Hai Ba Trung, Ha Noi    "
20,CONG TY CO PHAN BANH KEO HAI MINH ,"299/15/1 Duong Hoang Mai, Hoang Mai, Ha Noi"
21,CONG TY TNHH DICH VU THUONG MAI QUOC TE HOA VIET,"To dan pho Duong Hoa, Phuong Minh Duc, Thi xa My Hao, Tinh Hung Yen, Viet Nam"
22,CONG TY CO PHAN KEM HUNG LINH,"Mach Ky, Hong Duong, Thanh Oai, Ha Noi"
23,CONG TY CO PHAN HUYEN ANH COSMETICS,"Tang 2, so 5, Ngach 35, ngo 214 Nguyen Xien, Phuong Ha Dinh, Thanh Xuan, Ha Noi"
24,CONG TY CO PHAN SAN XUAT & PHAN PHOI MAI NAM,"Lo VII.12, Modul1, KCN Khai Son, Huyen Thuan Thanh, Tinh Bac Ninh"
25,CONG TY TNHH OGK HA NOI,"KCN Phu Ha, Ha Thach, Thi xa Phu Tho, Tinh Phu Tho"
26,Minh Loc,"Duong lieu, Hoai Duc, ha noi"
27,Hiep Long,"kcn Quang minh 2, xa kim hoa,huyen me linh ,ha noi"
28,Van Mieu,"Son trung, yen son, quoc oai, ha noi"
29,Vihamark,"Lo N3-6 KCN Dong Van II, Phuong Duy Minh, Thi Xa Duy Tien, Tinh Ha Nam"
30,Ph new star,"Lo N3-6, KCN ?ong Van II, Phuong Duy Minh, Thi xa Duy Tien, Tinh Ha Nam, Viet  Nam."
31,Huy chuc," So 32 nam ngu , cua nam , hoan kiem , ha noi"
32,Anh Hong," Dan Tien, Khoai Chau , Hung Yen"
33,Duoc lieu wewell,"277 Duong Van Xuan, Ha Mo, Dan Phuong, Ha Noi"
34,manh cuong," Km so 6 xa Hong Quang, Nam Truc, Nam Dinh"
35,Bao Hung,"Cum CN Tan Minh, Vu Thu,Thai Binh"
36,Aroma," Duong Nguyen Thien Thuat, Nhan Hoa, My Hao, Hung Yen"
37,?ai Long," Minh Long, Xich Tho, Nho Quan,Ninh Binh"
38,Daytone,"KCN TT3, Thuan Thanh , Bac Ninh"
39,essa hi-tech,"Lo N2-1, Khu cong nghiep Dong Van II, Phuong Duy Minh, Thi xa Duy Tien, Tinh Ha Nam, Viet Nam"
40,ottogi Viet Nam," Duong YP4, KCN Yen Phong,Xa Dong Phong, Huyen Yen Phong, Tinh Bac Ninh"
41,Paldo,"Cum Cong Nghiep Dong Lang, Xa Phu Ninh, Huyen Phu Ninh, Tinh Phu Tho"
42,sao do,"van lam , hung yen"
43,thanh phuc,hung yen
44,Thuc pham HN,"Nam Tien, Phu Xuyen"
45,Vinauc,"KCN Duyen Thai, Thuong Tin"
46,VTM,"Van Giang, Hung Yen"
47,Yalena,"Thon Ha Cau, xa Quoc Tuan, huyen An Lao, TP Hai Phong, Viet Nam"
48,yuzhan,"KCN Que Vo, Huyen Que Vo, Tinh Bac Ninh"
49,Yura,"Moc Ty, Trung Trac , Van Lam"
50,Truong Xuan,"KCN Dai Dong Hoan Son Tien Du"
51,TQT,"My Hao, Hung Yen"
52,CONG TY CO PHAN SYV," Km 22, cum cong nghiep Ngoc Liep, xa Ngoc Liep, huyen Quoc Oai, thanh pho Ha Noi, Viet Nam"
53,CONG TY CO PHAN SMK VIET NAM,"Cum cong nghiep Xuan Lam, Xa Xuan Lam, Huyen Thuan Thanh, Tinh Bac Ninh"
54,CONG TY CO PHAN TAN HUNG,"Ngoc Lac, Ngoc Son, TP Hai Duong, Hai Duong"
55,CONG TY CO PHAN NHUA AN PHAT XANH,"Lo CN 11, Cum cong nghiep An Dong, thi tran Nam Sach, huyen Nam Sach, tinh Hai Duong, Viet Nam"
56,CONG TY TNHH SANJEON VIET NAM,"KCN Que Vo, tinh Bac Ninh"
57,CONG TY TNHH ZION VINA,"Yura bac Ninh,Cum Cong Nghiep Tan Chi, Xa Tan Chi, Huyen Tien Du, Bac Ninh"
58,Cong ty co phan thuc pham nhat minh,"duong lieu, hoai duc, ha noi"
