ID/ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
15,28.45,33.25,101.04,24.09,18.64,50.26,19.87,47.84,67.62,4.58,30.13,45.69,1.84,31.63,0.0,2.4,37.62,32.15,6.22,26.42,104.91,23.84,35.97,21.29,44.64,44.64,4.34,35.36,31.4,92.63,94.18,29.93,497.71,27.87,44.64,40.32,91.13,19.51,55.89,30.16,11.95,18.63,89.01,39.59,25.19,24.56,28.46,26.93,20.94,71.32,83.67,39.59,35.73,23.84
16,28.15,31.97,100.4,22.8,20.9,48.98,19.58,46.56,66.34,6.84,29.83,44.4,3.99,33.02,2.48,0.0,37.32,33.54,8.48,26.12,106.67,26.1,37.3,23.55,44.01,44.01,5.82,35.06,33.66,92.0,93.54,29.63,497.08,27.57,44.01,39.03,92.89,19.21,55.25,29.53,12.58,15.75,88.72,38.31,24.9,23.28,28.16,29.19,20.64,71.02,83.37,38.31,35.43,26.1
17,20.51,44.77,68.92,36.68,62.02,50.12,45.68,47.7,81.08,44.96,49.7,45.54,41.84,71.48,41.64,41.35,0.0,72.0,49.16,23.47,132.78,67.22,63.41,64.67,53.59,53.59,43.54,25.45,71.57,81.33,72.68,15.17,506.67,24.11,53.59,41.73,118.99,22.91,39.14,68.55,51.5,26.77,54.11,39.45,18.43,35.23,13.65,70.3,27.98,25.01,30.61,39.45,25.14,67.22
18,58.93,62.44,90.85,53.27,30.12,79.45,49.22,77.03,96.81,31.75,62.29,74.87,33.29,4.58,32.14,35.39,68.1,0.0,27.32,56.91,123.67,40.94,54.7,38.39,34.45,34.45,33.51,64.49,48.5,82.44,83.99,60.41,487.53,58.36,34.45,69.5,109.89,49.99,45.7,20.0,21.66,46.22,118.14,68.78,55.68,53.75,58.95,48.47,51.43,100.45,112.8,68.78,66.21,40.94
19,35.45,38.95,101.74,29.79,14.18,55.96,23.23,53.54,61.62,5.76,35.33,51.39,7.29,25.67,6.15,8.39,44.62,26.18,0.0,33.42,97.67,19.38,28.7,16.83,45.35,45.35,7.52,41.0,23.73,93.34,94.88,36.93,498.42,34.87,45.35,47.87,83.89,26.51,56.6,30.87,12.84,22.73,94.65,45.29,32.19,30.26,35.46,22.47,27.94,76.96,89.31,45.29,42.73,19.38
20,4.19,19.32,88.94,13.9,47.15,36.45,30.82,34.03,67.42,30.1,25.05,31.88,26.98,56.61,26.77,26.49,25.06,57.13,34.3,0.0,117.91,52.35,48.54,49.8,68.28,68.28,28.67,28.31,56.7,116.27,92.7,12.8,521.35,2.18,68.28,28.06,104.13,14.33,51.92,53.8,36.63,19.64,74.14,25.78,14.66,12.45,15.16,55.44,6.64,40.59,46.19,25.78,11.47,52.35
21,123.54,99.98,199.41,113.18,106.65,122.86,90.5,120.44,107.72,101.31,95.33,118.28,108.11,123.34,105.32,107.62,130.48,123.86,97.94,119.28,0.0,75.63,75.61,79.42,143.02,143.02,101.85,130.82,77.46,191.01,192.55,122.79,596.09,120.73,143.02,99.5,18.12,112.37,152.79,128.54,110.51,114.49,184.48,112.19,118.05,113.66,121.32,76.9,113.8,166.78,152.61,112.19,113.69,75.63
22,54.57,58.07,120.86,48.91,11.07,75.08,32.1,72.66,70.5,22.01,44.21,70.51,24.98,34.83,24.04,26.28,63.74,40.53,19.39,52.54,75.13,0.0,35.51,7.71,64.47,64.47,24.2,60.12,8.36,112.46,114.0,56.05,517.54,53.99,64.47,56.75,61.3,45.63,75.72,49.99,31.97,41.85,113.77,64.41,51.31,49.38,54.58,12.51,47.06,96.08,108.43,64.41,61.84,0.0
23,50.44,35.33,129.74,38.71,36.98,58.21,22.52,55.79,42.77,30.87,27.71,53.63,37.24,53.67,34.88,36.75,59.61,54.19,28.26,48.41,75.95,35.05,0.0,39.63,73.34,73.34,31.41,59.95,31.11,121.33,122.88,51.92,526.41,49.86,73.34,34.85,62.16,41.5,81.92,58.87,40.84,43.62,113.61,47.54,47.18,39.97,50.45,45.27,42.93,95.91,87.96,47.54,49.05,35.05
24,52.17,55.67,118.46,46.51,8.67,72.68,35.15,70.26,73.55,19.62,47.26,68.11,22.58,30.29,21.64,23.88,61.34,38.13,16.99,50.14,77.12,7.71,38.82,0.0,62.07,62.07,21.8,57.72,15.71,110.06,111.6,53.65,515.14,51.59,62.07,59.8,63.29,43.23,73.32,47.59,29.57,39.45,111.37,62.01,48.91,46.98,52.18,6.32,44.66,93.68,106.03,62.01,59.45,7.71
